,logFC,PValue,FDR
SPSB2,0.21,0.18,0.74
TCF7L1,0.33,0.18,0.74
THAP1,0.17,0.18,0.74
TMEM50A,0.13,0.18,0.74
TRIM34,0.23,0.18,0.74
WDR90,-0.19,0.18,0.74
ZBTB33,0.13,0.18,0.74
ZCCHC8,-0.18,0.18,0.74
ZNF182,-0.21,0.18,0.74
ZNF23,-0.29,0.18,0.74
ZNF865,0.21,0.18,0.74
ADAT2,-0.25,0.19,0.74
CSTF1,-0.15,0.19,0.74
DENND3,0.19,0.19,0.74
DHX29,0.14,0.19,0.74
IMP4,-0.12,0.19,0.74
INSIG1,0.26,0.19,0.74
KHK,-0.16,0.19,0.74
LXN,0.45,0.19,0.74
POU4F1,0.29,0.19,0.74
RAB3A,0.75,0.19,0.74
RNF224,0.56,0.19,0.74
SLC25A25,-0.18,0.19,0.74
SLC25A45,0.27,0.19,0.74
ZBTB17,-0.2,0.19,0.74
ABCB7,-0.17,0.19,0.75
ADGRE5,-0.15,0.19,0.75
ALG1,0.12,0.19,0.75
ANKRD18EP,0.28,0.19,0.75
APOO,-0.15,0.19,0.75
APP,0.13,0.19,0.75
ARMC7,0.21,0.19,0.75
ASS1,0.16,0.19,0.75
AUTS2,-0.42,0.19,0.75
AXIN1,0.13,0.19,0.75
BEND3P3,0.39,0.19,0.75
BMI1,0.12,0.19,0.75
C11orf45,0.27,0.19,0.75
C15orf39,0.22,0.19,0.75
C17orf113,0.36,0.19,0.75
C1orf198,-0.13,0.19,0.75
C2CD4B,-0.92,0.19,0.75
CCDC102A,0.19,0.19,0.75
CCDC9B,0.26,0.19,0.75
CDV3,0.17,0.19,0.75
CLPB,0.13,0.19,0.75
CYP2R1,0.2,0.19,0.75
DDX24,-0.19,0.19,0.75
description:bromodomain,0.43,0.19,0.75
DNAJC30,0.17,0.19,0.75
DUS3L,-0.17,0.19,0.75
DUSP16,0.24,0.19,0.75
EFCAB12,-0.43,0.19,0.75
EFR3A,0.18,0.19,0.75
EPS15L1,0.19,0.19,0.75
ETFB,0.16,0.19,0.75
FAM117A,0.43,0.19,0.75
FAM118A,0.18,0.19,0.75
FAM169A,0.16,0.19,0.75
FBXL15,0.21,0.19,0.75
FBXL7,-0.45,0.19,0.75
FCGRT,0.15,0.19,0.75
FGF7P3,0.28,0.19,0.75
FHIP1A,0.88,0.19,0.75
FIZ1,0.16,0.19,0.75
FKBP15,0.17,0.19,0.75
FNTA,0.13,0.19,0.75
FOXJ1,-0.61,0.19,0.75
FSCN1,0.16,0.19,0.75
GATM,-0.21,0.19,0.75
GNG11,-0.19,0.19,0.75
GPATCH2,-0.15,0.19,0.75
GPR137,-0.22,0.19,0.75
GPR89A,-0.17,0.19,0.75
HACD1,-0.26,0.19,0.75
HERPUD2,0.15,0.19,0.75
HOXC13,0.44,0.19,0.75
HSD17B8,-0.3,0.19,0.75
IGLON5,0.56,0.19,0.75
IL13RA1,0.14,0.19,0.75
INF2,0.17,0.19,0.75
KANSL1,0.13,0.19,0.75
KCNQ3,0.75,0.19,0.75
KDM5B,0.21,0.19,0.75
KDM5D,0.25,0.19,0.75
KIAA0930,0.11,0.19,0.75
KIF7,0.24,0.19,0.75
KLHL15,-0.16,0.19,0.75
KLHL4,0.27,0.19,0.75
KLRD1,-0.53,0.19,0.75
LAYN,-0.43,0.19,0.75
LDLRAD3,0.18,0.19,0.75
LYSMD3,0.15,0.19,0.75
MAPK8IP2,0.3,0.19,0.75
MBTD1,-0.15,0.19,0.75
MEF2B,-0.95,0.19,0.75
MEGF8,0.19,0.19,0.75
MMP25,0.57,0.19,0.75
MTSS1,-0.38,0.19,0.75
MYD88,0.14,0.19,0.75
NAA16,-0.18,0.19,0.75
NCDN,0.18,0.19,0.75
NR6A1,0.35,0.19,0.75
NRP1,0.13,0.19,0.75
NSD1,0.17,0.19,0.75
NSUN4,-0.13,0.19,0.75
NUMB,0.13,0.19,0.75
NUTM2E,0.18,0.19,0.75
OTOF,0.67,0.19,0.75
PAPSS2,-0.22,0.19,0.75
PF4,-1.1,0.19,0.75
PLCB3,0.18,0.19,0.75
PLEKHA3,0.14,0.19,0.75
PMEPA1,-0.29,0.19,0.75
POGLUT1,0.17,0.19,0.75
PPEF1,-0.54,0.19,0.75
PPP2CA,-0.1,0.19,0.75
PRDM15,0.22,0.19,0.75
PRR29,-0.52,0.19,0.75
PTCHD4,0.55,0.19,0.75
RAB2B,0.14,0.19,0.75
RAD9A,-0.16,0.19,0.75
RIMBP3B,1.2,0.19,0.75
RNF39,0.38,0.19,0.75
RPL32,0.14,0.19,0.75
SAMD9,0.18,0.19,0.75
SAPCD1,-1.1,0.19,0.75
SBDSP1,-0.14,0.19,0.75
SEC24B,0.21,0.19,0.75
SELENOM,-0.22,0.19,0.75
SERINC2,0.3,0.19,0.75
SH2D6,0.61,0.19,0.75
SLC5A9,-0.83,0.19,0.75
SNAPC4,0.17,0.19,0.75
ST6GALNAC3,0.38,0.19,0.75
SYNPO2,-0.37,0.19,0.75
TAF1,0.18,0.19,0.75
TMCO4,0.18,0.19,0.75
TMEM80,0.19,0.19,0.75
VASH1,0.16,0.19,0.75
VIM,0.14,0.19,0.75
VPS41,0.15,0.19,0.75
WARS1,-0.14,0.19,0.75
WDR48,0.21,0.19,0.75
WTAP,0.17,0.19,0.75
XAGE1B,0.42,0.19,0.75
XIAP,0.12,0.19,0.75
ZNF337,-0.17,0.19,0.75
ZNF813,-0.51,0.19,0.75
ZYX,0.27,0.19,0.75
AK5,-0.3,0.2,0.75
AKR1E2,-0.25,0.2,0.75
ALG5,-0.15,0.2,0.75
ATN1,0.2,0.2,0.75
ATP6V1C1,0.13,0.2,0.75
C12orf60,-0.43,0.2,0.75
CCDC74A,-0.26,0.2,0.75
CCN1,-0.18,0.2,0.75
CMSS1,-0.12,0.2,0.75
COA8,0.14,0.2,0.75
CPD,0.13,0.2,0.75
CROCC,0.17,0.2,0.75
description:double,0.85,0.2,0.75
ECM2,0.8,0.2,0.75
FAM53B,0.15,0.2,0.75
FEM1A,0.13,0.2,0.75
FIG4,-0.26,0.2,0.75
FRS3,-0.37,0.2,0.75
GLIS2,0.23,0.2,0.75
GPR63,-0.51,0.2,0.75
GTDC1,0.21,0.2,0.75
GTF2IP12,0.23,0.2,0.75
GUSBP13,-0.77,0.2,0.75
HMBS,-0.15,0.2,0.75
IL15,-0.2,0.2,0.75
INTS6,0.15,0.2,0.75
KCNH1,0.37,0.2,0.75
KIF21B,0.29,0.2,0.75
KMT2E,0.19,0.2,0.75
LENG9,0.2,0.2,0.75
LSAMP,0.46,0.2,0.75
LYRM7,0.16,0.2,0.75
MAP10,0.38,0.2,0.75
MAPK10,0.31,0.2,0.75
MILR1,-0.31,0.2,0.75
MRPS27,-0.14,0.2,0.75
MSL2,0.21,0.2,0.75
MSMO1,-0.12,0.2,0.75
MTARC1,-0.28,0.2,0.75
MVK,-0.19,0.2,0.75
NBPF8,-0.21,0.2,0.75
NID2,-0.41,0.2,0.75
NPAT,-0.19,0.2,0.75
NRTN,-0.79,0.2,0.75
NUP37,-0.17,0.2,0.75
PACS2,0.15,0.2,0.75
PDZD8,-0.14,0.2,0.75
PITPNM3,0.37,0.2,0.75
PLEKHM1,0.22,0.2,0.75
PPIL2,-0.14,0.2,0.75
PPP4R1,-0.13,0.2,0.75
PRKG2,-0.39,0.2,0.75
PRPF6,-0.12,0.2,0.75
PSEN2,0.14,0.2,0.75
PWP2,-0.66,0.2,0.75
RAB3IP,0.19,0.2,0.75
RAD21,-0.12,0.2,0.75
RHBDF2,0.17,0.2,0.75
RPS2P5,0.19,0.2,0.75
SLC41A3,0.16,0.2,0.75
SMARCB1,-0.12,0.2,0.75
SMIM27,-0.28,0.2,0.75
SNX6,0.14,0.2,0.75
ST3GAL1,0.25,0.2,0.75
STAT5A,0.29,0.2,0.75
TMEM140,0.21,0.2,0.75
TNK1,0.46,0.2,0.75
TRIM35,0.13,0.2,0.75
WDR19,0.19,0.2,0.75
WDR82,0.16,0.2,0.75
XXYLT1,-0.17,0.2,0.75
ZNF180,-0.18,0.2,0.75
ZNF639,0.15,0.2,0.75
ABCD3,0.13,0.2,0.76
ACLY,-0.17,0.2,0.76
ACY1,-0.17,0.2,0.76
ARHGAP35,0.19,0.2,0.76
ARHGEF11,0.13,0.2,0.76
"15,00 ARL",0.16,0.2,0.76
ARVCF,-0.4,0.2,0.76
ATAD3A,-0.11,0.2,0.76
ATF2,0.16,0.2,0.76
B9D1,-0.22,0.2,0.76
BAHD1,0.21,0.2,0.76
BBOF1,-0.33,0.2,0.76
BRWD1,0.13,0.2,0.76
CCDC32,0.24,0.2,0.76
CHAMP1,-0.2,0.2,0.76
CTRL,0.52,0.2,0.76
DCLRE1A,-0.17,0.2,0.76
DDR1,0.13,0.2,0.76
DDX55,-0.16,0.2,0.76
description:kinesin,-0.37,0.2,0.76
DOHH,0.22,0.2,0.76
DPH1,0.15,0.2,0.76
EDRF1,-0.17,0.2,0.76
ENAH,0.16,0.2,0.76
EXOSC2,-0.12,0.2,0.76
FAM86C2P,0.27,0.2,0.76
FBXO41,0.2,0.2,0.76
FHDC1,0.81,0.2,0.76
GTF2IP7,0.51,0.2,0.76
GXYLT2,0.54,0.2,0.76
HMGB1P6,-0.23,0.2,0.76
IQCE,0.19,0.2,0.76
ITSN1,0.16,0.2,0.76
IYD,0.69,0.2,0.76
KIF1A,-0.76,0.2,0.76
LGALSL,0.18,0.2,0.76
NDUFAF1,0.23,0.2,0.76
NPIPA7,0.63,0.2,0.76
NRM,-0.26,0.2,0.76
NTAN1,-0.15,0.2,0.76
OR1A1,-0.44,0.2,0.76
PAIP2,0.13,0.2,0.76
PCDHB1,-0.69,0.2,0.76
PDZD7,0.36,0.2,0.76
PGAP3,-0.18,0.2,0.76
PI4K2A,0.21,0.2,0.76
PLCB4,0.14,0.2,0.76
POLR2J4,0.23,0.2,0.76
RADIL,-0.35,0.2,0.76
RCOR3,-0.15,0.2,0.76
RGS9BP,0.67,0.2,0.76
RIPK4,0.2,0.2,0.76
SAMD1,0.18,0.2,0.76
SCAI,0.19,0.2,0.76
SCG2,-0.91,0.2,0.76
SIAH1,0.15,0.2,0.76
SLC38A1,0.17,0.2,0.76
SSX2IP,-0.13,0.2,0.76
SUDS3,-0.15,0.2,0.76
TATDN2,0.16,0.2,0.76
TCN1,-0.96,0.2,0.76
TCTN3,-0.12,0.2,0.76
TEX30,-0.24,0.2,0.76
TM4SF5,-0.6,0.2,0.76
TMEM54,-0.21,0.2,0.76
TMX2P1,0.45,0.2,0.76
TOR1AIP2,0.16,0.2,0.76
VDAC1P8,-0.5,0.2,0.76
VPS26B,0.14,0.2,0.76
YIPF4,0.14,0.2,0.76
ZBED8,0.26,0.2,0.76
ZNF155,-0.29,0.2,0.76
AP5B1,0.15,0.21,0.76
ARHGAP18,-0.19,0.21,0.76
ATP6V0E1,0.097,0.21,0.76
C5orf15,-0.15,0.21,0.76
CCDC92,0.2,0.21,0.76
CDC42,0.093,0.21,0.76
CDC42EP2,0.4,0.21,0.76
CDK6,-0.21,0.21,0.76
CLK3,-0.14,0.21,0.76
CLYBL,0.31,0.21,0.76
COL11A1,-0.37,0.21,0.76
COX6B2,-0.56,0.21,0.76
CYBA,0.2,0.21,0.76
DEPTOR,0.32,0.21,0.76
DIS3L,-0.14,0.21,0.76
ELOB,0.14,0.21,0.76
EYA2,0.25,0.21,0.76
FCHO2,0.13,0.21,0.76
FILIP1L,-1.1,0.21,0.76
GNPDA1,0.15,0.21,0.76
GPAA1,-0.14,0.21,0.76
GPR180,-0.17,0.21,0.76
GPT2,-0.15,0.21,0.76
GTF2IRD2,-0.22,0.21,0.76
HAUS1,-0.23,0.21,0.76
IFNGR2,0.12,0.21,0.76
IL17D,-0.26,0.21,0.76
IRF7,0.32,0.21,0.76
ISY1-RAB43,0.4,0.21,0.76
KBTBD11,0.22,0.21,0.76
LMO7,0.15,0.21,0.76
MAPK11,-0.18,0.21,0.76
MAPKAPK3,0.16,0.21,0.76
METTL18,-0.29,0.21,0.76
MFAP1,-0.18,0.21,0.76
MTRF1,0.22,0.21,0.76
NAPRT,0.22,0.21,0.76
NDUFAF4,0.15,0.21,0.76
NGEF,-0.24,0.21,0.76
NMT2,0.16,0.21,0.76
NT5E,-0.22,0.21,0.76
OSR1,-0.28,0.21,0.76
OTUD1,0.31,0.21,0.76
PAFAH1B3,0.14,0.21,0.76
RAN,-0.12,0.21,0.76
RELA,0.13,0.21,0.76
RHOBTB3,0.25,0.21,0.76
RP9P,-0.23,0.21,0.76
SLX4,0.22,0.21,0.76
SMC1A,-0.17,0.21,0.76
SNAP47,0.13,0.21,0.76
SREK1,-0.13,0.21,0.76
SRRM5,0.69,0.21,0.76
SYNRG,0.16,0.21,0.76
TCN2,0.28,0.21,0.76
TES,0.18,0.21,0.76
TFB1M,-0.22,0.21,0.76
TIMM10,-0.17,0.21,0.76
TTC12,-0.33,0.21,0.76
VWA7,-0.43,0.21,0.76
ZBTB24,-0.18,0.21,0.76
ZER1,0.15,0.21,0.76
ZFP14,0.25,0.21,0.76
ZNF684,0.35,0.21,0.76
AEN,-0.11,0.21,0.77
APOBEC3F,-0.31,0.21,0.77
APOE,0.21,0.21,0.77
APOL1,0.54,0.21,0.77
ATM,0.15,0.21,0.77
BET1,-0.15,0.21,0.77
BLCAP,0.14,0.21,0.77
BRAF,0.16,0.21,0.77
BRAP,-0.18,0.21,0.77
C1QTNF6,-0.22,0.21,0.77
CA5B,-0.23,0.21,0.77
CAT,0.15,0.21,0.77
CDC73,0.11,0.21,0.77
CHST7,0.18,0.21,0.77
DEXI,0.14,0.21,0.77
DPY19L1,-0.13,0.21,0.77
EFHD1,0.5,0.21,0.77
FOXP1,-0.22,0.21,0.77
GALK2,-0.15,0.21,0.77
GPRC5B,0.29,0.21,0.77
GSK3B,0.18,0.21,0.77
IFNAR1,0.13,0.21,0.77
IL27RA,-0.25,0.21,0.77
KCNMA1,-0.43,0.21,0.77
KIAA1614,0.43,0.21,0.77
KIF3A,0.14,0.21,0.77
KLHDC1,-0.49,0.21,0.77
LY6E,0.12,0.21,0.77
MED9,-0.14,0.21,0.77
MFAP3,0.14,0.21,0.77
MR1,-0.15,0.21,0.77
NADK,0.12,0.21,0.77
NDUFC1,0.15,0.21,0.77
NEU1,-0.13,0.21,0.77
NID1,-0.26,0.21,0.77
OR7A17,0.52,0.21,0.77
ORAI2,0.18,0.21,0.77
OXCT1,-0.4,0.21,0.77
PCCB,-0.11,0.21,0.77
PCGF6,-0.14,0.21,0.77
PHYHIPL,0.59,0.21,0.77
PLXND1,-0.22,0.21,0.77
PNN,-0.13,0.21,0.77
PPP2R3B,-0.18,0.21,0.77
PRKCH,-0.37,0.21,0.77
RIN3,0.24,0.21,0.77
RRAS,0.17,0.21,0.77
SEPTIN7P14,-0.23,0.21,0.77
SERPINB5,-0.84,0.21,0.77
SLC23A1,-0.3,0.21,0.77
SLC4A11,0.31,0.21,0.77
SSRP1,-0.16,0.21,0.77
STK32C,0.18,0.21,0.77
TBPL1,0.18,0.21,0.77
TIAM2,-0.5,0.21,0.77
TMEM170A,0.16,0.21,0.77
TPTE2P1,-0.7,0.21,0.77
TTLL4,-0.17,0.21,0.77
TTN,0.33,0.21,0.77
WDR3,-0.17,0.21,0.77
WDR75,-0.15,0.21,0.77
ZBED2,-0.73,0.21,0.77
ANKRD31,0.77,0.22,0.77
ARF6,0.11,0.22,0.77
CCDC169,-0.5,0.22,0.77
CDC14A,0.28,0.22,0.77
CDH6,-0.99,0.22,0.77
CENPP,-0.2,0.22,0.77
CEP43,-0.2,0.22,0.77
CHEK1,-0.16,0.22,0.77
CHRNB1,0.25,0.22,0.77
DIS3L2,0.14,0.22,0.77
DNM1,0.15,0.22,0.77
ECM1,-0.63,0.22,0.77
EFTUD2,-0.12,0.22,0.77
ENTPD1,-0.17,0.22,0.77
EPAS1,0.2,0.22,0.77
FAM214B,0.2,0.22,0.77
FAM72A,-0.2,0.22,0.77
GABARAP,0.15,0.22,0.77
GJB2,-0.59,0.22,0.77
GOLM2,-0.11,0.22,0.77
GPN2,0.13,0.22,0.77
GSN,0.23,0.22,0.77
HPSE,0.41,0.22,0.77
HSF1,0.13,0.22,0.77
IRX5,0.34,0.22,0.77
KCNK1,0.22,0.22,0.77
LYPD1,-0.51,0.22,0.77
MAGED1,-0.11,0.22,0.77
MAP3K6,0.22,0.22,0.77
MEA1,-0.13,0.22,0.77
METTL8,0.13,0.22,0.77
MGAT4C,0.8,0.22,0.77
MIER1,0.13,0.22,0.77
MIF,0.18,0.22,0.77
MRPS11,-0.11,0.22,0.77
MSI2,0.11,0.22,0.77
MSL1,0.096,0.22,0.77
NAB1,0.15,0.22,0.77
NAT9,-0.14,0.22,0.77
NEMP1,-0.17,0.22,0.77
NFXL1,-0.25,0.22,0.77
NOP53,0.14,0.22,0.77
NRG4,0.36,0.22,0.77
NSMCE4A,-0.2,0.22,0.77
OR10H1,-0.55,0.22,0.77
OTUD3,-0.24,0.22,0.77
PAIP2B,0.42,0.22,0.77
PAPSS1,0.18,0.22,0.77
PFN1,0.13,0.22,0.77
PHOSPHO1,-0.43,0.22,0.77
PIAS3,0.14,0.22,0.77
PLCXD2,-0.28,0.22,0.77
POP1,0.13,0.22,0.77
PPP1R3B,0.28,0.22,0.77
PPP2R5B,0.24,0.22,0.77
PRPSAP2,-0.13,0.22,0.77
PSMB8,-0.14,0.22,0.77
RBM38,0.17,0.22,0.77
REXO1,0.14,0.22,0.77
RGS22,0.7,0.22,0.77
SCARB1,0.18,0.22,0.77
SELENOK,-0.19,0.22,0.77
SLC22A17,-0.18,0.22,0.77
SLC25A34,0.79,0.22,0.77
SLC35F6,-0.16,0.22,0.77
SLC43A1,-0.51,0.22,0.77
SLF1,-0.18,0.22,0.77
SLIT3,-0.22,0.22,0.77
SMIM11B,-0.63,0.22,0.77
SNX18P23,-0.42,0.22,0.77
SPAG9,-0.1,0.22,0.77
ST3GAL2,0.14,0.22,0.77
STXBP4,-0.14,0.22,0.77
SUGP2,-0.096,0.22,0.77
TMEM184B,0.22,0.22,0.77
TPCN2,-0.17,0.22,0.77
TRIM65,0.15,0.22,0.77
TTLL1,0.52,0.22,0.77
UBA3,0.19,0.22,0.77
UBE2G1,0.12,0.22,0.77
UTP11,-0.16,0.22,0.77
VAC14,0.14,0.22,0.77
XRCC5,-0.12,0.22,0.77
ZNF30,-0.23,0.22,0.77
ZNF330,-0.15,0.22,0.77
ZNF585A,0.25,0.22,0.77
ABCF2-H2BE1,-0.21,0.22,0.78
ACSL3,0.18,0.22,0.78
AKR1C2,0.15,0.22,0.78
ALOX12P2,-0.26,0.22,0.78
B4GALT7,-0.15,0.22,0.78
BHLHA15,-0.62,0.22,0.78
BMT2,0.19,0.22,0.78
CDH4,0.3,0.22,0.78
CLIP3,0.42,0.22,0.78
CNFN,0.25,0.22,0.78
CSTB,0.13,0.22,0.78
CTDSP1,0.1,0.22,0.78
DCAF15,0.17,0.22,0.78
DDX39B,-0.11,0.22,0.78
DNAJC18,0.21,0.22,0.78
DOCK7,0.19,0.22,0.78
EP300,0.18,0.22,0.78
ERBB2,0.13,0.22,0.78
ETV4,-0.18,0.22,0.78
FARS2,-0.15,0.22,0.78
FZR1,0.13,0.22,0.78
GIN1,-0.21,0.22,0.78
GNA12,0.11,0.22,0.78
GRIP2,-0.35,0.22,0.78
GUCY1A2,-0.67,0.22,0.78
H2AC11,-0.65,0.22,0.78
IFFO2,-0.25,0.22,0.78
JOSD2,0.17,0.22,0.78
KATNIP,0.17,0.22,0.78
KIFC3,-0.12,0.22,0.78
LDAF1,0.2,0.22,0.78
LSP1P4,0.21,0.22,0.78
MAPK13,0.87,0.22,0.78
MBD1,-0.13,0.22,0.78
MED24,0.15,0.22,0.78
MRE11,-0.14,0.22,0.78
MYO5B,-0.26,0.22,0.78
NASP,-0.16,0.22,0.78
NAV2,0.25,0.22,0.78
NOP9,0.11,0.22,0.78
NRIP1,-0.15,0.22,0.78
PAOX,0.31,0.22,0.78
PCLO,0.37,0.22,0.78
PLEKHF2,0.23,0.22,0.78
PLPPR3,0.29,0.22,0.78
POTEI,0.57,0.22,0.78
PPA1,0.1,0.22,0.78
PSEN1,0.13,0.22,0.78
PTPRF,0.15,0.22,0.78
RAB4A,0.11,0.22,0.78
RASGRF2,-0.63,0.22,0.78
RNF207,0.16,0.22,0.78
RNF43,-0.42,0.22,0.78
RPL38,0.2,0.22,0.78
RTKN2,-0.32,0.22,0.78
RXRB,0.14,0.22,0.78
SF3A3,-0.17,0.22,0.78
SFMBT1,-0.27,0.22,0.78
SIN3B,0.13,0.22,0.78
TAOK2,0.12,0.22,0.78
TIGD7,0.49,0.22,0.78
TTC37,0.12,0.22,0.78
TUT7,0.15,0.22,0.78
UNC13D,0.41,0.22,0.78
ZCCHC17,-0.14,0.22,0.78
ZNF12,0.15,0.22,0.78
ZNF223,0.33,0.22,0.78
ZNF229,0.26,0.22,0.78
ABCC6P1,-0.76,0.23,0.78
ACBD6,0.14,0.23,0.78
ALG12,0.14,0.23,0.78
ANKMY1,-0.16,0.23,0.78
ANKZF1,0.17,0.23,0.78
ASXL2,0.21,0.23,0.78
ATP6V1H,0.18,0.23,0.78
BLMH,-0.19,0.23,0.78
CCDC74B,-0.28,0.23,0.78
CELF1,0.13,0.23,0.78
CEP162,0.28,0.23,0.78
CHEK2,-0.21,0.23,0.78
CSK,0.15,0.23,0.78
CSNK1E,0.11,0.23,0.78
CTBP1,0.11,0.23,0.78
DAZAP1,0.097,0.23,0.78
EFCAB11,-0.23,0.23,0.78
FAM124A,0.33,0.23,0.78
FBXL20,0.15,0.23,0.78
FEZ2,0.13,0.23,0.78
FLNB,0.2,0.23,0.78
G6PC3,-0.11,0.23,0.78
GKAP1,0.25,0.23,0.78
GNAI1,0.13,0.23,0.78
HACD4,0.25,0.23,0.78
HNRNPA1P48,0.51,0.23,0.78
IKBKE,0.19,0.23,0.78
LAMTOR3,0.18,0.23,0.78
LMNTD2,0.26,0.23,0.78
MACROH2A2,-0.14,0.23,0.78
MAPK3,-0.17,0.23,0.78
MAT2B,0.1,0.23,0.78
MBD2,0.13,0.23,0.78
MED12,0.15,0.23,0.78
METTL17,-0.13,0.23,0.78
MIEF2,0.16,0.23,0.78
MYDGF,-0.12,0.23,0.78
PAF1,-0.12,0.23,0.78
PIP5K1C,0.22,0.23,0.78
POLA1,-0.15,0.23,0.78
PPAN-P2RY11,-0.47,0.23,0.78
PPP1CB,0.098,0.23,0.78
PPP1R26,0.19,0.23,0.78
PROCR,-0.2,0.23,0.78
PRODH2,-0.76,0.23,0.78
PRXL2A,-0.13,0.23,0.78
PTP4A2,-0.12,0.23,0.78
RMDN2,0.22,0.23,0.78
SEC31A,0.16,0.23,0.78
SLC12A8,0.49,0.23,0.78
SNX5,-0.1,0.23,0.78
SYN3,0.26,0.23,0.78
TMEM217,-0.58,0.23,0.78
TRAPPC5,0.22,0.23,0.78
UBBP4,-0.53,0.23,0.78
UBE2W,0.14,0.23,0.78
WASF1,0.24,0.23,0.78
XDH,-0.48,0.23,0.78
YBX3,0.13,0.23,0.78
YPEL2,0.19,0.23,0.78
ZBTB43,0.22,0.23,0.78
ZNF283,0.2,0.23,0.78
ZNF782,0.39,0.23,0.78
ABHD12B,-0.34,0.23,0.79
AKAP8,-0.11,0.23,0.79
AKNA,0.26,0.23,0.79
ANKRD20A5P,-0.33,0.23,0.79
ANKS1B,0.7,0.23,0.79
ARHGDIB,0.57,0.23,0.79
ARMC8,0.16,0.23,0.79
ARSI,-0.22,0.23,0.79
ATP5MK,0.21,0.23,0.79
B3GALT6,0.15,0.23,0.79
BORCS6,0.18,0.23,0.79
CBFA2T2,0.23,0.23,0.79
CDK16,-0.094,0.23,0.79
CIC,0.21,0.23,0.79
DYNLT3,-0.15,0.23,0.79
GPR20,0.47,0.23,0.79
GTF2A2,0.14,0.23,0.79
GTF2F1,-0.14,0.23,0.79
HECW2,0.28,0.23,0.79
HNRNPA1P33,0.33,0.23,0.79
HSD17B13,-0.7,0.23,0.79
IPO13,0.17,0.23,0.79
KLC2,0.12,0.23,0.79
KPNA2,-0.17,0.23,0.79
LRRC37BP1,0.14,0.23,0.79
"11,00 LSM",-0.25,0.23,0.79
MFSD9,0.17,0.23,0.79
MGAT3,-0.53,0.23,0.79
MGST2,0.14,0.23,0.79
NEK10,-0.4,0.23,0.79
NEK4,0.13,0.23,0.79
NUDT15,-0.14,0.23,0.79
OR7E38P,-0.19,0.23,0.79
PARP4,0.18,0.23,0.79
PKN2,0.11,0.23,0.79
PRKAA2,-0.2,0.23,0.79
PRPF39,-0.15,0.23,0.79
PRR4,-0.28,0.23,0.79
RAB32,-0.14,0.23,0.79
RBMX2,-0.17,0.23,0.79
RBP7,0.46,0.23,0.79
SP140L,0.37,0.23,0.79
TK2,0.19,0.23,0.79
TM9SF4,-0.11,0.23,0.79
TMEM92,-0.25,0.23,0.79
UQCRC1,0.11,0.23,0.79
ABHD10,-0.13,0.24,0.79
ADAT1,-0.13,0.24,0.79
ALOX15B,1.6,0.24,0.79
ATG13,-0.12,0.24,0.79
BZW1P2,-0.19,0.24,0.79
C2orf69,-0.14,0.24,0.79
CARNMT1,0.12,0.24,0.79
CCDC85B,0.21,0.24,0.79
CD24,-0.26,0.24,0.79
CDC40,0.17,0.24,0.79
CDC42EP1,0.21,0.24,0.79
CEP131,0.21,0.24,0.79
CHD9,0.13,0.24,0.79
CLK4,0.18,0.24,0.79
CRNKL1,-0.15,0.24,0.79
DELE1,0.11,0.24,0.79
DOCK5,-0.16,0.24,0.79
EMC10,0.11,0.24,0.79
FAAP100,0.14,0.24,0.79
FAM118B,0.17,0.24,0.79
FAM83G,0.12,0.24,0.79
FANCM,0.23,0.24,0.79
FBXO33,0.14,0.24,0.79
FGG,-0.46,0.24,0.79
GPR3,-0.53,0.24,0.79
GUCY2EP,0.46,0.24,0.79
HNF1A,-0.19,0.24,0.79
IRF8,1.1,0.24,0.79
ITGB8,0.43,0.24,0.79
LRIF1,0.15,0.24,0.79
LRRC75B,-0.25,0.24,0.79
MAP4K2,0.15,0.24,0.79
METRN,0.27,0.24,0.79
NR1D1,-0.37,0.24,0.79
NRXN3,-0.98,0.24,0.79
OTUD5,0.11,0.24,0.79
PCBD2,-0.19,0.24,0.79
PCGF1,0.16,0.24,0.79
PDXDC1,-0.14,0.24,0.79
PHYH,0.11,0.24,0.79
PIGM,-0.15,0.24,0.79
PRR19,0.41,0.24,0.79
RAB11A,0.087,0.24,0.79
RBM3,0.11,0.24,0.79
SDR42E1,0.31,0.24,0.79
SKI,0.18,0.24,0.79
SLC25A51P4,-0.27,0.24,0.79
SNX1,-0.1,0.24,0.79
STAG3L2,0.19,0.24,0.79
TAF1A,-0.24,0.24,0.79
THAP11,0.15,0.24,0.79
TPPP,0.3,0.24,0.79
TRPM7,0.1,0.24,0.79
TTLL6,-0.3,0.24,0.79
TXNL1,-0.1,0.24,0.79
TYW1B,0.36,0.24,0.79
WDR76,-0.21,0.24,0.79
ZMYM1,-0.17,0.24,0.79
ZNF385A,-0.23,0.24,0.79
ACSS3,-0.98,0.24,0.8
ACTN1,0.16,0.24,0.8
AFF4,0.16,0.24,0.8
ANKDD1A,0.36,0.24,0.8
APBA2,0.14,0.24,0.8
ARHGAP30,-0.61,0.24,0.8
ATG2A,0.22,0.24,0.8
BBLN,0.21,0.24,0.8
BCL2L2-PABPN1,0.29,0.24,0.8
CAMLG,0.11,0.24,0.8
CASP4,0.37,0.24,0.8
CDC42BPG,0.34,0.24,0.8
CEMP1,3.1,0.24,0.8
CHRD,-0.49,0.24,0.8
CLU,-0.15,0.24,0.8
CTSB,-0.3,0.24,0.8
